"year","index","SEup","SElo","timeseries","metric"
2010,44.6654938733429,47.0090032208513,42.3219845258346,"Spp Density Coastwide","No spp per  11 trawls"
2011,44.0811170938814,46.0950553914571,42.0671787963057,"Spp Density Coastwide","No spp per  11 trawls"
2012,43.0827806181778,45.5225642516109,40.6429969847447,"Spp Density Coastwide","No spp per  11 trawls"
2013,43.9253563809206,46.0799710721839,41.7707416896574,"Spp Density Coastwide","No spp per  11 trawls"
2014,44.8977875973169,47.339594229946,42.4559809646878,"Spp Density Coastwide","No spp per  11 trawls"
2015,46.2170482752316,48.6097091092226,43.8243874412406,"Spp Density Coastwide","No spp per  11 trawls"
2016,43.8984760729976,46.2803629269554,41.5165892190398,"Spp Density Coastwide","No spp per  11 trawls"
2017,45.1787232868769,47.5901867997256,42.7672597740281,"Spp Density Coastwide","No spp per  11 trawls"
2003,28.5853411912675,31.001033864952,26.169648517583,"Spp Richness North","No spp per 5020 indiv"
2004,31.6424894406936,33.6731823847859,29.6117964966012,"Spp Richness North","No spp per 5020 indiv"
2005,33.0033600173541,35.8283819993997,30.1783380353085,"Spp Richness North","No spp per 5020 indiv"
2006,31.7422960626958,34.3542955867608,29.1302965386308,"Spp Richness North","No spp per 5020 indiv"
2007,32.0223929079066,34.5275436196781,29.5172421961351,"Spp Richness North","No spp per 5020 indiv"
2008,32.853212059343,35.4526591297642,30.2537649889218,"Spp Richness North","No spp per 5020 indiv"
2009,33.6429926610161,36.0895370058141,31.1964483162182,"Spp Richness North","No spp per 5020 indiv"
2010,34.5592695579174,37.3855762609749,31.7329628548598,"Spp Richness North","No spp per 5020 indiv"
2011,31.5553020238538,33.7830975608862,29.3275064868215,"Spp Richness North","No spp per 5020 indiv"
2012,31.8904674930587,33.8538645196361,29.9270704664813,"Spp Richness North","No spp per 5020 indiv"
2013,32.5743108469816,34.8576454605655,30.2909762333976,"Spp Richness North","No spp per 5020 indiv"
2014,33.0732684075699,35.3471724681752,30.7993643469645,"Spp Richness North","No spp per 5020 indiv"
2015,33.8709607810435,36.8503390371159,30.891582524971,"Spp Richness North","No spp per 5020 indiv"
2016,32.5482462714628,34.9231280247693,30.1733645181562,"Spp Richness North","No spp per 5020 indiv"
2017,32.0702517399913,34.4202918190976,29.7202116608849,"Spp Richness North","No spp per 5020 indiv"
2003,44.9951581844519,48.8017673194135,41.1885490494904,"Spp Density North","No spp per  11 trawls"
2004,41.8133085341276,44.7034517542077,38.9231653140476,"Spp Density North","No spp per  11 trawls"
2005,43.2847516739895,46.0222793735806,40.5472239743983,"Spp Density North","No spp per  11 trawls"
2006,41.7880371352381,44.4481357644877,39.1279385059884,"Spp Density North","No spp per  11 trawls"
2007,41.4794642394764,44.2586150722195,38.7003134067332,"Spp Density North","No spp per  11 trawls"
2008,41.659836526699,44.4194745497961,38.900198503602,"Spp Density North","No spp per  11 trawls"
2009,42.8464879955252,45.8407424342778,39.8522335567725,"Spp Density North","No spp per  11 trawls"
2010,44.2436055871794,47.4486741719781,41.0385370023806,"Spp Density North","No spp per  11 trawls"
2011,43.7016820853391,46.9400851854626,40.4632789852156,"Spp Density North","No spp per  11 trawls"
2012,43.0622805400545,46.381436124828,39.743124955281,"Spp Density North","No spp per  11 trawls"
2013,43.3090080402366,46.3438611061905,40.2741549742828,"Spp Density North","No spp per  11 trawls"
2014,46.2660046272154,50.0231809685848,42.508828285846,"Spp Density North","No spp per  11 trawls"
2015,46.2456600581534,50.6046117932089,41.8867083230978,"Spp Density North","No spp per  11 trawls"
2016,43.8909430042971,47.1330967713873,40.6487892372068,"Spp Density North","No spp per  11 trawls"
2017,47.1054037704284,50.9240747502491,43.2867327906077,"Spp Density North","No spp per  11 trawls"
2003,34.7003060608461,38.6944679000547,30.7061442216375,"Spp Richness South","No spp per 5020 indiv"
2004,33.4843823348805,35.5140929698684,31.4546716998926,"Spp Richness South","No spp per 5020 indiv"
2005,34.0779940552938,37.7761593237345,30.3798287868531,"Spp Richness South","No spp per 5020 indiv"
2006,38.5887478745265,41.3831777686094,35.7943179804436,"Spp Richness South","No spp per 5020 indiv"
2007,38.1330360154677,39.4709631698258,36.7951088611097,"Spp Richness South","No spp per 5020 indiv"
2008,37.1853546077108,40.2934422564516,34.07726695897,"Spp Richness South","No spp per 5020 indiv"
2009,39.8961666576777,42.1692217446662,37.6231115706892,"Spp Richness South","No spp per 5020 indiv"
2010,38.6931953702514,40.9996931209765,36.3866976195263,"Spp Richness South","No spp per 5020 indiv"
2011,39.3863204635728,42.295737203908,36.4769037232376,"Spp Richness South","No spp per 5020 indiv"
2012,34.4049735862442,37.4452920063429,31.3646551661456,"Spp Richness South","No spp per 5020 indiv"
2013,33.4253686510432,35.9190965119463,30.9316407901401,"Spp Richness South","No spp per 5020 indiv"
2014,35.966213401705,37.8123786068376,34.1200481965723,"Spp Richness South","No spp per 5020 indiv"
2015,40.2256344073683,43.0069120941489,37.4443567205878,"Spp Richness South","No spp per 5020 indiv"
2016,35.5659803876669,37.2920720133306,33.8398887620031,"Spp Richness South","No spp per 5020 indiv"
2017,37.4068811090036,40.1918809565986,34.6218812614086,"Spp Richness South","No spp per 5020 indiv"
2003,44.3811994851229,49.5469760186462,39.2154229515996,"Spp Density South","No spp per  11 trawls"
2004,45.2986637276586,49.440986000907,41.1563414544102,"Spp Density South","No spp per  11 trawls"
2005,45.0757550224932,48.6367582880258,41.5147517569607,"Spp Density South","No spp per  11 trawls"
2006,46.6619785701464,49.8992824091325,43.4246747311603,"Spp Density South","No spp per  11 trawls"
2007,43.5819275846566,47.0235204295443,40.1403347397689,"Spp Density South","No spp per  11 trawls"
2008,43.5634020245904,48.0539910358562,39.0728130133247,"Spp Density South","No spp per  11 trawls"
2009,44.8606542614295,48.2657281311765,41.4555803916824,"Spp Density South","No spp per  11 trawls"
2010,45.0351774267082,48.8700058199586,41.2003490334577,"Spp Density South","No spp per  11 trawls"
2011,44.4136005659983,47.3666246090439,41.4605765229528,"Spp Density South","No spp per  11 trawls"
2012,43.1007440032099,47.1120339876143,39.0894540188054,"Spp Density South","No spp per  11 trawls"
2013,44.4654373743201,47.9244590318585,41.0064157167817,"Spp Density South","No spp per  11 trawls"
2014,43.6988746386584,47.3339291643599,40.0638201129569,"Spp Density South","No spp per  11 trawls"
2015,46.1919769330647,49.239281799903,43.1446720662264,"Spp Density South","No spp per  11 trawls"
2016,43.9050769948443,47.8201184048302,39.9900355848583,"Spp Density South","No spp per  11 trawls"
2017,43.4904515080235,46.9033354721083,40.0775675439387,"Spp Density South","No spp per  11 trawls"
2003,0.650221567998569,0.658951127403829,0.641492008593309,"Simpson diversity - Coastwide","1-lambda"
2004,0.662664129771881,0.671273760239379,0.654054499304383,"Simpson diversity - Coastwide","1-lambda"
2005,0.6728451709808,0.679945285416129,0.665745056545471,"Simpson diversity - Coastwide","1-lambda"
2006,0.653123739999136,0.66093867070417,0.645308809294102,"Simpson diversity - Coastwide","1-lambda"
2007,0.658419841828933,0.66570500276368,0.651134680894186,"Simpson diversity - Coastwide","1-lambda"
2008,0.632714716209222,0.640226650552482,0.625202781865962,"Simpson diversity - Coastwide","1-lambda"
2009,0.630875117591981,0.638715546697485,0.623034688486477,"Simpson diversity - Coastwide","1-lambda"
2010,0.664252827808151,0.671404867263699,0.657100788352603,"Simpson diversity - Coastwide","1-lambda"
2011,0.675172853350483,0.682622049420023,0.667723657280943,"Simpson diversity - Coastwide","1-lambda"
2012,0.65102788756973,0.658850425715125,0.643205349424334,"Simpson diversity - Coastwide","1-lambda"
2013,0.663215399092151,0.671826013991609,0.654604784192693,"Simpson diversity - Coastwide","1-lambda"
2014,0.672560070282132,0.680002001089106,0.665118139475158,"Simpson diversity - Coastwide","1-lambda"
2015,0.696507895518679,0.703555023655991,0.689460767381367,"Simpson diversity - Coastwide","1-lambda"
2016,0.697968956839954,0.704648822755135,0.691289090924773,"Simpson diversity - Coastwide","1-lambda"
2017,0.668309557994887,0.675362647667109,0.661256468322665,"Simpson diversity - Coastwide","1-lambda"
2003,0.663546192230581,0.674704024074122,0.65238836038704,"Simpson diversity - North","1-lambda"
2004,0.697160839909541,0.707561168095854,0.686760511723228,"Simpson diversity - North","1-lambda"
2005,0.703266925232043,0.71178757927245,0.694746271191637,"Simpson diversity - North","1-lambda"
2006,0.666971165876211,0.677782813240331,0.656159518512091,"Simpson diversity - North","1-lambda"
2007,0.66696461344969,0.676812311855062,0.657116915044318,"Simpson diversity - North","1-lambda"
2008,0.649866791218663,0.66045077255655,0.639282809880776,"Simpson diversity - North","1-lambda"
2009,0.649085658900389,0.659854099731633,0.638317218069145,"Simpson diversity - North","1-lambda"
2010,0.691442542240573,0.701179555101122,0.681705529380024,"Simpson diversity - North","1-lambda"
2011,0.701960639288686,0.711991568718689,0.691929709858683,"Simpson diversity - North","1-lambda"
2012,0.675232716028568,0.68540546366584,0.665059968391296,"Simpson diversity - North","1-lambda"
2013,0.676917675818625,0.687906193994319,0.665929157642931,"Simpson diversity - North","1-lambda"
2014,0.690766451987775,0.70037751048277,0.68115539349278,"Simpson diversity - North","1-lambda"
2015,0.726951142036964,0.736017137887033,0.717885146186895,"Simpson diversity - North","1-lambda"
2016,0.72536519572709,0.734276325592385,0.716454065861795,"Simpson diversity - North","1-lambda"
2017,0.694063506056975,0.703252571178763,0.684874440935187,"Simpson diversity - North","1-lambda"
2003,0.623099547860756,0.636980373680043,0.609218722041469,"Simpson diversity - South","1-lambda"
2004,0.605313086675152,0.61910189426923,0.591524279081074,"Simpson diversity - South","1-lambda"
2005,0.614865076065487,0.626567782211453,0.603162369919521,"Simpson diversity - South","1-lambda"
2006,0.627747875789826,0.638889771247206,0.616605980332447,"Simpson diversity - South","1-lambda"
2007,0.640980279746778,0.651668001402995,0.630292558090561,"Simpson diversity - South","1-lambda"
2008,0.604016468585443,0.614449157369879,0.593583779801007,"Simpson diversity - South","1-lambda"
2009,0.600196300174811,0.611500955577632,0.58889164477199,"Simpson diversity - South","1-lambda"
2010,0.619545395434495,0.629661963580539,0.609428827288451,"Simpson diversity - South","1-lambda"
2011,0.631161423986957,0.641951781603771,0.620371066370143,"Simpson diversity - South","1-lambda"
2012,0.611138592948806,0.623130499539877,0.599146686357735,"Simpson diversity - South","1-lambda"
2013,0.634564477356035,0.648365165482306,0.620763789229764,"Simpson diversity - South","1-lambda"
2014,0.638901978446945,0.650629712383038,0.627174244510852,"Simpson diversity - South","1-lambda"
2015,0.648576839785475,0.659255338418607,0.637898341152343,"Simpson diversity - South","1-lambda"
2016,0.651325265425756,0.660958757854207,0.641691772997305,"Simpson diversity - South","1-lambda"
2017,0.623514370731898,0.634225011062077,0.612803730401719,"Simpson diversity - South","1-lambda"
