time,taxa,abundance,abundance_error,richness,richness_error,diversity,diversity_error,evenness,evenness_error
1994-01-01T00:00:00Z,Forage,5.7971396,6.776842,4.2465754,2.3080826,0.6980417,0.47742504,0.5347291,0.3127181
1995-01-01T00:00:00Z,Forage,6.278756,7.379303,3.8194444,2.3456666,0.5922639,0.43829432,0.49111882,0.30374625
1996-01-01T00:00:00Z,Forage,5.6891556,6.192815,4.410959,3.1350865,0.6250707,0.42264572,0.5124013,0.28129575
1997-01-01T00:00:00Z,Forage,5.2562475,5.6782894,4.830986,2.5127442,0.8030682,0.44566968,0.54788166,0.27167276
1998-01-01T00:00:00Z,Forage,5.2194185,6.052227,3.5066667,2.4625483,0.60510665,0.46465904,0.5766315,0.29616365
1999-01-01T00:00:00Z,Forage,4.4516726,5.436841,2.5675676,1.937949,0.50312406,0.45608196,0.5328053,0.3432341
2000-01-01T00:00:00Z,Forage,4.647052,5.201933,3.313253,1.9995592,0.67680854,0.51465946,0.64024717,0.32366502
2001-01-01T00:00:00Z,Forage,5.5493875,6.3237715,3.9466667,2.1554039,0.6423513,0.5117928,0.4915629,0.31406486
2002-01-01T00:00:00Z,Forage,5.13734,6.0271707,3.5737705,2.0853379,0.5568945,0.43414095,0.4985183,0.2804207
2003-01-01T00:00:00Z,Forage,5.231664,5.775452,4.233766,2.6847332,0.7521975,0.48099163,0.6431083,0.24222758
2004-01-01T00:00:00Z,Forage,5.5364904,5.9919353,5.1571426,2.8924475,0.811146,0.49261776,0.5667365,0.27024782
2005-01-01T00:00:00Z,Forage,5.346112,5.847773,4.8656716,2.9123328,0.81659055,0.479203,0.5891342,0.2626404
2006-01-01T00:00:00Z,Forage,4.7322583,4.98604,3.5172415,2.6106489,0.6226217,0.4932313,0.56835246,0.32529032
2007-01-01T00:00:00Z,Forage,4.928123,5.7771697,3.2533333,2.5367212,0.49469465,0.48486412,0.5302125,0.30777055
2008-01-01T00:00:00Z,Forage,4.8436246,5.4044886,3.892857,2.6435006,0.81600636,0.51823074,0.67452466,0.29437637
2009-01-01T00:00:00Z,Forage,5.842006,6.374781,3.6515152,2.2836707,0.6275238,0.48653862,0.547509,0.31448138
2010-01-01T00:00:00Z,Forage,6.012789,6.9473577,3.6666667,2.342473,0.54249287,0.42547736,0.4907354,0.32628113
2011-01-01T00:00:00Z,Forage,4.1574287,4.680174,2.3488371,1.5566099,0.46031424,0.4449128,0.6104417,0.34657472
2012-01-01T00:00:00Z,Forage,5.7844405,6.5276294,2.1272728,1.4536613,0.27380547,0.3920748,0.3977394,0.35092226
2013-01-01T00:00:00Z,Forage,5.860238,6.5051055,3.4615386,2.164432,0.6166683,0.52093434,0.51795256,0.3249932
2014-01-01T00:00:00Z,Forage,6.9611297,7.760122,4.0701756,2.234947,0.5585294,0.45601264,0.4076765,0.307278
2015-01-01T00:00:00Z,Forage,6.093852,6.5359726,7.0,2.4790027,1.0479243,0.45287773,0.56331986,0.23252879
2016-01-01T00:00:00Z,Forage,5.7428026,6.5237927,4.875,2.6306298,0.9728768,0.54343563,0.6936288,0.22889341
2017-01-01T00:00:00Z,Forage,6.694708,7.847187,3.735294,2.6205347,0.54011935,0.5625378,0.45681834,0.32605383
2018-01-01T00:00:00Z,Forage,6.6234326,7.235832,4.928571,2.6813982,0.68326813,0.46418637,0.47680703,0.27108726
