time,species_group,abundance_index
2004-01-01T00:00:00Z,Pacific sanddab,63270.496
2005-01-01T00:00:00Z,Pacific sanddab,45748.22
2006-01-01T00:00:00Z,Pacific sanddab,48453.02
2007-01-01T00:00:00Z,Pacific sanddab,31536.83
2008-01-01T00:00:00Z,Pacific sanddab,50190.258
2009-01-01T00:00:00Z,Pacific sanddab,75157.14
2010-01-01T00:00:00Z,Pacific sanddab,77437.56
2011-01-01T00:00:00Z,Pacific sanddab,69274.48
2012-01-01T00:00:00Z,Pacific sanddab,85023.37
2013-01-01T00:00:00Z,Pacific sanddab,118139.11
2014-01-01T00:00:00Z,Pacific sanddab,108359.6
2015-01-01T00:00:00Z,Pacific sanddab,67003.55
2003-01-01T00:00:00Z,Chilipepper,107301.21
2004-01-01T00:00:00Z,Chilipepper,80667.695
2005-01-01T00:00:00Z,Chilipepper,117788.55
2006-01-01T00:00:00Z,Chilipepper,70161.65
2007-01-01T00:00:00Z,Chilipepper,61660.12
2008-01-01T00:00:00Z,Chilipepper,29389.973
2009-01-01T00:00:00Z,Chilipepper,19788.758
2010-01-01T00:00:00Z,Chilipepper,10936.428
2011-01-01T00:00:00Z,Chilipepper,42831.934
2012-01-01T00:00:00Z,Chilipepper,36303.24
2013-01-01T00:00:00Z,Chilipepper,41741.66
2014-01-01T00:00:00Z,Chilipepper,74922.08
2015-01-01T00:00:00Z,Chilipepper,31245.355
2003-01-01T00:00:00Z,Shortbelly rockfish,54677.06
2004-01-01T00:00:00Z,Shortbelly rockfish,45867.156
2005-01-01T00:00:00Z,Shortbelly rockfish,65874.34
2006-01-01T00:00:00Z,Shortbelly rockfish,11316.903
2007-01-01T00:00:00Z,Shortbelly rockfish,3155.3022
2008-01-01T00:00:00Z,Shortbelly rockfish,13973.144
2009-01-01T00:00:00Z,Shortbelly rockfish,14460.601
2010-01-01T00:00:00Z,Shortbelly rockfish,12402.499
2011-01-01T00:00:00Z,Shortbelly rockfish,13107.255
2012-01-01T00:00:00Z,Shortbelly rockfish,11151.517
2013-01-01T00:00:00Z,Shortbelly rockfish,6398.223
2014-01-01T00:00:00Z,Shortbelly rockfish,5961.806
2015-01-01T00:00:00Z,Shortbelly rockfish,21546.31
2003-01-01T00:00:00Z,Redstripe rockfish,NaN
2004-01-01T00:00:00Z,Redstripe rockfish,NaN
2005-01-01T00:00:00Z,Redstripe rockfish,NaN
2006-01-01T00:00:00Z,Redstripe rockfish,NaN
2007-01-01T00:00:00Z,Redstripe rockfish,NaN
2008-01-01T00:00:00Z,Redstripe rockfish,NaN
2009-01-01T00:00:00Z,Redstripe rockfish,NaN
2010-01-01T00:00:00Z,Redstripe rockfish,NaN
2011-01-01T00:00:00Z,Redstripe rockfish,NaN
2012-01-01T00:00:00Z,Redstripe rockfish,NaN
2013-01-01T00:00:00Z,Redstripe rockfish,NaN
2014-01-01T00:00:00Z,Redstripe rockfish,NaN
2015-01-01T00:00:00Z,Redstripe rockfish,NaN
2003-01-01T00:00:00Z,Stripetail rockfish,17289.105
2004-01-01T00:00:00Z,Stripetail rockfish,30334.924
2005-01-01T00:00:00Z,Stripetail rockfish,27696.305
2006-01-01T00:00:00Z,Stripetail rockfish,16106.54
2007-01-01T00:00:00Z,Stripetail rockfish,14415.954
2008-01-01T00:00:00Z,Stripetail rockfish,21845.834
2009-01-01T00:00:00Z,Stripetail rockfish,19531.207
2010-01-01T00:00:00Z,Stripetail rockfish,9602.286
2011-01-01T00:00:00Z,Stripetail rockfish,16141.341
2012-01-01T00:00:00Z,Stripetail rockfish,20330.865
2013-01-01T00:00:00Z,Stripetail rockfish,26787.346
2014-01-01T00:00:00Z,Stripetail rockfish,28493.225
2015-01-01T00:00:00Z,Stripetail rockfish,23623.863
