time,fishing_engagement,location,region
2009-01-01T00:00:00Z,1.29408,"El Granada, CA",CCA
2010-01-01T00:00:00Z,2.34703,"El Granada, CA",CCA
2011-01-01T00:00:00Z,3.84034,"El Granada, CA",CCA
2012-01-01T00:00:00Z,3.46695,"El Granada, CA",CCA
2013-01-01T00:00:00Z,1.98648,"El Granada, CA",CCA
2014-01-01T00:00:00Z,2.94944,"El Granada, CA",CCA
2015-01-01T00:00:00Z,2.34095,"El Granada, CA",CCA
2016-01-01T00:00:00Z,3.20033,"El Granada, CA",CCA
2017-01-01T00:00:00Z,0.0055,"El Granada, CA",CCA
2018-01-01T00:00:00Z,-0.114371546,"El Granada, CA",CCA
2005-01-01T00:00:00Z,2.76886,"Eureka, CA",NCA
2006-01-01T00:00:00Z,3.84251,"Eureka, CA",NCA
2007-01-01T00:00:00Z,4.02261,"Eureka, CA",NCA
2008-01-01T00:00:00Z,4.09306,"Eureka, CA",NCA
2009-01-01T00:00:00Z,4.50823,"Eureka, CA",NCA
2010-01-01T00:00:00Z,4.11714,"Eureka, CA",NCA
2011-01-01T00:00:00Z,5.94229,"Eureka, CA",NCA
2012-01-01T00:00:00Z,4.876,"Eureka, CA",NCA
2013-01-01T00:00:00Z,3.10613,"Eureka, CA",NCA
2014-01-01T00:00:00Z,4.12413,"Eureka, CA",NCA
2015-01-01T00:00:00Z,3.35305,"Eureka, CA",NCA
2016-01-01T00:00:00Z,3.37721,"Eureka, CA",NCA
2017-01-01T00:00:00Z,3.82628,"Eureka, CA",NCA
2018-01-01T00:00:00Z,3.3901005,"Eureka, CA",NCA
2005-01-01T00:00:00Z,1.87676,"Florence, OR",OR
2006-01-01T00:00:00Z,1.89884,"Florence, OR",OR
2007-01-01T00:00:00Z,0.93993,"Florence, OR",OR
2008-01-01T00:00:00Z,0.60166,"Florence, OR",OR
2009-01-01T00:00:00Z,0.6714,"Florence, OR",OR
2010-01-01T00:00:00Z,0.8177,"Florence, OR",OR
2011-01-01T00:00:00Z,0.68859,"Florence, OR",OR
2012-01-01T00:00:00Z,0.48775,"Florence, OR",OR
2013-01-01T00:00:00Z,0.36183,"Florence, OR",OR
2014-01-01T00:00:00Z,0.56195,"Florence, OR",OR
2015-01-01T00:00:00Z,0.26447,"Florence, OR",OR
2016-01-01T00:00:00Z,0.76976,"Florence, OR",OR
2017-01-01T00:00:00Z,0.21055,"Florence, OR",OR
2018-01-01T00:00:00Z,0.336168,"Florence, OR",OR
2005-01-01T00:00:00Z,1.89033,"Fort Bragg, CA",NCA
2006-01-01T00:00:00Z,2.81293,"Fort Bragg, CA",NCA
2007-01-01T00:00:00Z,3.96095,"Fort Bragg, CA",NCA
2008-01-01T00:00:00Z,3.90213,"Fort Bragg, CA",NCA
2009-01-01T00:00:00Z,3.06088,"Fort Bragg, CA",NCA
2010-01-01T00:00:00Z,3.98987,"Fort Bragg, CA",NCA
2011-01-01T00:00:00Z,3.31369,"Fort Bragg, CA",NCA
2012-01-01T00:00:00Z,5.53038,"Fort Bragg, CA",NCA
2013-01-01T00:00:00Z,4.21732,"Fort Bragg, CA",NCA
2014-01-01T00:00:00Z,5.59559,"Fort Bragg, CA",NCA
2015-01-01T00:00:00Z,5.86111,"Fort Bragg, CA",NCA
2016-01-01T00:00:00Z,5.32527,"Fort Bragg, CA",NCA
2017-01-01T00:00:00Z,4.10384,"Fort Bragg, CA",NCA
2018-01-01T00:00:00Z,2.7581513,"Fort Bragg, CA",NCA
2005-01-01T00:00:00Z,1.52881,"Garibaldi, OR",OR
2006-01-01T00:00:00Z,0.96623,"Garibaldi, OR",OR
2007-01-01T00:00:00Z,0.0,"Garibaldi, OR",OR
2008-01-01T00:00:00Z,0.86328,"Garibaldi, OR",OR
2009-01-01T00:00:00Z,1.39662,"Garibaldi, OR",OR
2010-01-01T00:00:00Z,2.48119,"Garibaldi, OR",OR
2011-01-01T00:00:00Z,2.81973,"Garibaldi, OR",OR
2012-01-01T00:00:00Z,1.59556,"Garibaldi, OR",OR
2013-01-01T00:00:00Z,1.65692,"Garibaldi, OR",OR
2014-01-01T00:00:00Z,2.26255,"Garibaldi, OR",OR
2015-01-01T00:00:00Z,0.96546,"Garibaldi, OR",OR
2016-01-01T00:00:00Z,0.66881,"Garibaldi, OR",OR
2017-01-01T00:00:00Z,0.96645,"Garibaldi, OR",OR
2018-01-01T00:00:00Z,1.5950844,"Garibaldi, OR",OR
2005-01-01T00:00:00Z,3.24902,"Half Moon Bay, CA",CCA
2006-01-01T00:00:00Z,1.41976,"Half Moon Bay, CA",CCA
2007-01-01T00:00:00Z,1.85221,"Half Moon Bay, CA",CCA
2008-01-01T00:00:00Z,1.94716,"Half Moon Bay, CA",CCA
2009-01-01T00:00:00Z,1.44788,"Half Moon Bay, CA",CCA
2010-01-01T00:00:00Z,2.477,"Half Moon Bay, CA",CCA
2011-01-01T00:00:00Z,3.84034,"Half Moon Bay, CA",CCA
2012-01-01T00:00:00Z,3.46695,"Half Moon Bay, CA",CCA
2013-01-01T00:00:00Z,1.98648,"Half Moon Bay, CA",CCA
2014-01-01T00:00:00Z,2.94944,"Half Moon Bay, CA",CCA
2015-01-01T00:00:00Z,2.34095,"Half Moon Bay, CA",CCA
2016-01-01T00:00:00Z,3.20033,"Half Moon Bay, CA",CCA
2017-01-01T00:00:00Z,5.59858,"Half Moon Bay, CA",CCA
2005-01-01T00:00:00Z,2.6241,"Ilwaco, WA",WA
2006-01-01T00:00:00Z,3.5839,"Ilwaco, WA",WA
2007-01-01T00:00:00Z,2.85483,"Ilwaco, WA",WA
2008-01-01T00:00:00Z,2.7864,"Ilwaco, WA",WA
2009-01-01T00:00:00Z,3.24304,"Ilwaco, WA",WA
2010-01-01T00:00:00Z,3.28199,"Ilwaco, WA",WA
2011-01-01T00:00:00Z,2.90634,"Ilwaco, WA",WA
2012-01-01T00:00:00Z,4.1165,"Ilwaco, WA",WA
2013-01-01T00:00:00Z,4.52222,"Ilwaco, WA",WA
2014-01-01T00:00:00Z,4.0399,"Ilwaco, WA",WA
2015-01-01T00:00:00Z,3.30204,"Ilwaco, WA",WA
2016-01-01T00:00:00Z,3.03426,"Ilwaco, WA",WA
2017-01-01T00:00:00Z,3.69471,"Ilwaco, WA",WA
2018-01-01T00:00:00Z,1.5487155,"Ilwaco, WA",WA
2005-01-01T00:00:00Z,0.72844,"La Push, WA",WA
2006-01-01T00:00:00Z,0.36107,"La Push, WA",WA
2007-01-01T00:00:00Z,0.74533,"La Push, WA",WA
2008-01-01T00:00:00Z,0.20472,"La Push, WA",WA
2009-01-01T00:00:00Z,0.16081,"La Push, WA",WA
2010-01-01T00:00:00Z,0.47465,"La Push, WA",WA
2011-01-01T00:00:00Z,0.90475,"La Push, WA",WA
2012-01-01T00:00:00Z,3.63075,"La Push, WA",WA
2013-01-01T00:00:00Z,4.02935,"La Push, WA",WA
2014-01-01T00:00:00Z,0.19726,"La Push, WA",WA
2015-01-01T00:00:00Z,0.19437,"La Push, WA",WA
2016-01-01T00:00:00Z,0.19437,"La Push, WA",WA
2017-01-01T00:00:00Z,0.50355,"La Push, WA",WA
2005-01-01T00:00:00Z,NaN,"Lake Forest, CA",SCA
2006-01-01T00:00:00Z,NaN,"Lake Forest, CA",SCA
2007-01-01T00:00:00Z,0.44327,"Lake Forest, CA",SCA
2008-01-01T00:00:00Z,NaN,"Lake Forest, CA",SCA
2009-01-01T00:00:00Z,NaN,"Lake Forest, CA",SCA
2010-01-01T00:00:00Z,-0.19823,"Lake Forest, CA",SCA
2011-01-01T00:00:00Z,0.27984,"Lake Forest, CA",SCA
2012-01-01T00:00:00Z,0.48471,"Lake Forest, CA",SCA
2013-01-01T00:00:00Z,0.41141,"Lake Forest, CA",SCA
2014-01-01T00:00:00Z,0.22467,"Lake Forest, CA",SCA
2015-01-01T00:00:00Z,0.51507,"Lake Forest, CA",SCA
2016-01-01T00:00:00Z,1.31009,"Lake Forest, CA",SCA
2017-01-01T00:00:00Z,0.23952,"Lake Forest, CA",SCA
2005-01-01T00:00:00Z,9.77187,"Los Angeles, CA",SCA
2006-01-01T00:00:00Z,11.77855,"Los Angeles, CA",SCA
2007-01-01T00:00:00Z,4.5895,"Los Angeles, CA",SCA
2008-01-01T00:00:00Z,5.78553,"Los Angeles, CA",SCA
2009-01-01T00:00:00Z,11.34621,"Los Angeles, CA",SCA
2010-01-01T00:00:00Z,14.0205,"Los Angeles, CA",SCA
2011-01-01T00:00:00Z,10.57433,"Los Angeles, CA",SCA
2012-01-01T00:00:00Z,12.92911,"Los Angeles, CA",SCA
2013-01-01T00:00:00Z,7.61697,"Los Angeles, CA",SCA
2014-01-01T00:00:00Z,6.61203,"Los Angeles, CA",SCA
2015-01-01T00:00:00Z,4.66777,"Los Angeles, CA",SCA
2016-01-01T00:00:00Z,6.39458,"Los Angeles, CA",SCA
2017-01-01T00:00:00Z,7.21382,"Los Angeles, CA",CCA
2018-01-01T00:00:00Z,4.9177113,"Los Angeles, CA",CCA
2005-01-01T00:00:00Z,0.87576,"Monterey, CA",CCA
2006-01-01T00:00:00Z,0.95789,"Monterey, CA",CCA
2007-01-01T00:00:00Z,0.66972,"Monterey, CA",CCA
2008-01-01T00:00:00Z,2.26552,"Monterey, CA",CCA
2009-01-01T00:00:00Z,2.37259,"Monterey, CA",CCA
2010-01-01T00:00:00Z,2.87493,"Monterey, CA",CCA
2011-01-01T00:00:00Z,5.25802,"Monterey, CA",CCA
2012-01-01T00:00:00Z,3.89158,"Monterey, CA",CCA
2013-01-01T00:00:00Z,4.76616,"Monterey, CA",CCA
2014-01-01T00:00:00Z,6.72939,"Monterey, CA",CCA
2015-01-01T00:00:00Z,4.7863,"Monterey, CA",CCA
2016-01-01T00:00:00Z,3.69885,"Monterey, CA",CCA
2017-01-01T00:00:00Z,2.5844,"Monterey, CA",CCA
2018-01-01T00:00:00Z,3.0105972,"Monterey, CA",CCA
2005-01-01T00:00:00Z,1.83476,"Morro Bay, CA",CCA
2006-01-01T00:00:00Z,1.98868,"Morro Bay, CA",CCA
2007-01-01T00:00:00Z,1.59292,"Morro Bay, CA",CCA
2008-01-01T00:00:00Z,1.17568,"Morro Bay, CA",CCA
2009-01-01T00:00:00Z,2.34972,"Morro Bay, CA",CCA
2010-01-01T00:00:00Z,2.66042,"Morro Bay, CA",CCA
2011-01-01T00:00:00Z,4.87942,"Morro Bay, CA",CCA
2012-01-01T00:00:00Z,2.6273,"Morro Bay, CA",CCA
2013-01-01T00:00:00Z,2.46314,"Morro Bay, CA",CCA
2014-01-01T00:00:00Z,3.56986,"Morro Bay, CA",CCA
2015-01-01T00:00:00Z,3.6931,"Morro Bay, CA",CCA
2016-01-01T00:00:00Z,2.84183,"Morro Bay, CA",CCA
2017-01-01T00:00:00Z,3.16946,"Morro Bay, CA",CCA
2018-01-01T00:00:00Z,1.4466623,"Morro Bay, CA",CCA
2005-01-01T00:00:00Z,2.65976,"Moss Landing, CA",CCA
2006-01-01T00:00:00Z,3.51665,"Moss Landing, CA",CCA
2007-01-01T00:00:00Z,4.76173,"Moss Landing, CA",CCA
2008-01-01T00:00:00Z,4.83127,"Moss Landing, CA",CCA
2009-01-01T00:00:00Z,3.65226,"Moss Landing, CA",CCA
2010-01-01T00:00:00Z,2.92393,"Moss Landing, CA",CCA
2011-01-01T00:00:00Z,5.21239,"Moss Landing, CA",CCA
2012-01-01T00:00:00Z,3.60265,"Moss Landing, CA",CCA
2013-01-01T00:00:00Z,2.04247,"Moss Landing, CA",CCA
2014-01-01T00:00:00Z,5.06491,"Moss Landing, CA",CCA
2015-01-01T00:00:00Z,4.81148,"Moss Landing, CA",CCA
2016-01-01T00:00:00Z,2.81448,"Moss Landing, CA",CCA
2017-01-01T00:00:00Z,2.04161,"Moss Landing, CA",CCA
2018-01-01T00:00:00Z,3.3011694,"Moss Landing, CA",CCA
2005-01-01T00:00:00Z,10.08129,"Newport, OR",OR
2006-01-01T00:00:00Z,10.97002,"Newport, OR",OR
2007-01-01T00:00:00Z,12.28133,"Newport, OR",OR
2008-01-01T00:00:00Z,11.76899,"Newport, OR",OR
2009-01-01T00:00:00Z,12.63262,"Newport, OR",OR
2010-01-01T00:00:00Z,11.62944,"Newport, OR",OR
2011-01-01T00:00:00Z,11.84718,"Newport, OR",OR
2012-01-01T00:00:00Z,12.04744,"Newport, OR",OR
2013-01-01T00:00:00Z,13.98275,"Newport, OR",OR
2014-01-01T00:00:00Z,16.31814,"Newport, OR",OR
2015-01-01T00:00:00Z,14.33237,"Newport, OR",OR
2016-01-01T00:00:00Z,15.96512,"Newport, OR",OR
2017-01-01T00:00:00Z,15.86023,"Newport, OR",OR
2018-01-01T00:00:00Z,18.591837,"Newport, OR",OR
2005-01-01T00:00:00Z,2.41166,"Olympia, WA",WA
2006-01-01T00:00:00Z,2.77459,"Olympia, WA",WA
2007-01-01T00:00:00Z,4.13272,"Olympia, WA",WA
2008-01-01T00:00:00Z,5.79562,"Olympia, WA",WA
2009-01-01T00:00:00Z,4.02324,"Olympia, WA",WA
2010-01-01T00:00:00Z,3.52339,"Olympia, WA",WA
2011-01-01T00:00:00Z,1.18172,"Olympia, WA",WA
2012-01-01T00:00:00Z,0.32806,"Olympia, WA",WA
2013-01-01T00:00:00Z,0.701,"Olympia, WA",WA
2014-01-01T00:00:00Z,1.16984,"Olympia, WA",WA
2015-01-01T00:00:00Z,0.74671,"Olympia, WA",WA
2016-01-01T00:00:00Z,1.1061,"Olympia, WA",WA
2017-01-01T00:00:00Z,0.59061,"Olympia, WA",WA
2018-01-01T00:00:00Z,2.5973926,"Olympia, WA",WA
2005-01-01T00:00:00Z,1.53132,"Oxnard, CA",SCA
2006-01-01T00:00:00Z,2.04435,"Oxnard, CA",SCA
2007-01-01T00:00:00Z,2.42781,"Oxnard, CA",SCA
2008-01-01T00:00:00Z,3.08166,"Oxnard, CA",SCA
2009-01-01T00:00:00Z,2.56048,"Oxnard, CA",SCA
2010-01-01T00:00:00Z,2.9977,"Oxnard, CA",SCA
2011-01-01T00:00:00Z,5.05763,"Oxnard, CA",SCA
2012-01-01T00:00:00Z,2.9202,"Oxnard, CA",SCA
2013-01-01T00:00:00Z,3.08795,"Oxnard, CA",SCA
2014-01-01T00:00:00Z,2.67155,"Oxnard, CA",SCA
2015-01-01T00:00:00Z,3.1649,"Oxnard, CA",SCA
2016-01-01T00:00:00Z,2.99984,"Oxnard, CA",SCA
2017-01-01T00:00:00Z,2.10673,"Oxnard, CA",SCA
2018-01-01T00:00:00Z,1.6350968,"Oxnard, CA",SCA
2005-01-01T00:00:00Z,2.70161,"Port Hueneme, CA",SCA
2006-01-01T00:00:00Z,1.74412,"Port Hueneme, CA",SCA
2007-01-01T00:00:00Z,3.29308,"Port Hueneme, CA",SCA
2008-01-01T00:00:00Z,2.10071,"Port Hueneme, CA",SCA
2009-01-01T00:00:00Z,4.98649,"Port Hueneme, CA",SCA
2010-01-01T00:00:00Z,3.93418,"Port Hueneme, CA",SCA
2011-01-01T00:00:00Z,2.91454,"Port Hueneme, CA",SCA
2012-01-01T00:00:00Z,2.66022,"Port Hueneme, CA",SCA
2013-01-01T00:00:00Z,2.27103,"Port Hueneme, CA",SCA
2014-01-01T00:00:00Z,2.56567,"Port Hueneme, CA",SCA
2015-01-01T00:00:00Z,2.25343,"Port Hueneme, CA",SCA
2016-01-01T00:00:00Z,2.28223,"Port Hueneme, CA",SCA
2017-01-01T00:00:00Z,3.1928,"Port Hueneme, CA",SCA
2018-01-01T00:00:00Z,1.6967872,"Port Hueneme, CA",SCA
2005-01-01T00:00:00Z,1.72961,"Port Orford, OR",OR
2006-01-01T00:00:00Z,2.59444,"Port Orford, OR",OR
2007-01-01T00:00:00Z,1.74852,"Port Orford, OR",OR
2008-01-01T00:00:00Z,2.17556,"Port Orford, OR",OR
2009-01-01T00:00:00Z,1.44833,"Port Orford, OR",OR
2010-01-01T00:00:00Z,2.58493,"Port Orford, OR",OR
2011-01-01T00:00:00Z,4.73269,"Port Orford, OR",OR
2012-01-01T00:00:00Z,2.18452,"Port Orford, OR",OR
2013-01-01T00:00:00Z,1.64805,"Port Orford, OR",OR
2014-01-01T00:00:00Z,1.83738,"Port Orford, OR",OR
2015-01-01T00:00:00Z,2.1574,"Port Orford, OR",OR
2016-01-01T00:00:00Z,2.51957,"Port Orford, OR",OR
2017-01-01T00:00:00Z,1.50516,"Port Orford, OR",OR
2018-01-01T00:00:00Z,3.224332,"Port Orford, OR",OR
2005-01-01T00:00:00Z,3.06117,"San Diego, CA",SCA
2006-01-01T00:00:00Z,3.19951,"San Diego, CA",SCA
2007-01-01T00:00:00Z,3.85326,"San Diego, CA",SCA
2008-01-01T00:00:00Z,2.63913,"San Diego, CA",SCA
2009-01-01T00:00:00Z,5.18847,"San Diego, CA",SCA
2010-01-01T00:00:00Z,5.39181,"San Diego, CA",SCA
2011-01-01T00:00:00Z,7.5446,"San Diego, CA",SCA
2012-01-01T00:00:00Z,6.02245,"San Diego, CA",SCA
2013-01-01T00:00:00Z,9.77887,"San Diego, CA",SCA
2014-01-01T00:00:00Z,4.95075,"San Diego, CA",SCA
2015-01-01T00:00:00Z,6.07183,"San Diego, CA",SCA
2016-01-01T00:00:00Z,4.07567,"San Diego, CA",SCA
2017-01-01T00:00:00Z,6.1105,"San Diego, CA",SCA
2018-01-01T00:00:00Z,4.325692,"San Diego, CA",SCA
2005-01-01T00:00:00Z,3.31843,"San Francisco, CA",CCA
2006-01-01T00:00:00Z,4.17796,"San Francisco, CA",CCA
2007-01-01T00:00:00Z,2.67718,"San Francisco, CA",CCA
2008-01-01T00:00:00Z,3.0495,"San Francisco, CA",CCA
2009-01-01T00:00:00Z,3.65051,"San Francisco, CA",CCA
2010-01-01T00:00:00Z,4.27059,"San Francisco, CA",CCA
2011-01-01T00:00:00Z,4.14829,"San Francisco, CA",CCA
2012-01-01T00:00:00Z,4.13646,"San Francisco, CA",CCA
2013-01-01T00:00:00Z,3.22621,"San Francisco, CA",CCA
2014-01-01T00:00:00Z,5.90517,"San Francisco, CA",CCA
2015-01-01T00:00:00Z,4.04226,"San Francisco, CA",CCA
2016-01-01T00:00:00Z,6.00898,"San Francisco, CA",CCA
2017-01-01T00:00:00Z,6.298,"San Francisco, CA",CCA
2018-01-01T00:00:00Z,2.897365,"San Francisco, CA",CCA
2005-01-01T00:00:00Z,1.95598,"Santa Barbara, CA",SCA
2006-01-01T00:00:00Z,2.57265,"Santa Barbara, CA",SCA
2007-01-01T00:00:00Z,3.41555,"Santa Barbara, CA",SCA
2008-01-01T00:00:00Z,4.49298,"Santa Barbara, CA",SCA
2009-01-01T00:00:00Z,3.94606,"Santa Barbara, CA",SCA
2010-01-01T00:00:00Z,4.25411,"Santa Barbara, CA",SCA
2011-01-01T00:00:00Z,4.15452,"Santa Barbara, CA",SCA
2012-01-01T00:00:00Z,3.88283,"Santa Barbara, CA",SCA
2013-01-01T00:00:00Z,2.53323,"Santa Barbara, CA",SCA
2014-01-01T00:00:00Z,4.08978,"Santa Barbara, CA",SCA
2015-01-01T00:00:00Z,5.36705,"Santa Barbara, CA",SCA
2016-01-01T00:00:00Z,4.7608,"Santa Barbara, CA",SCA
2017-01-01T00:00:00Z,4.34369,"Santa Barbara, CA",SCA
2018-01-01T00:00:00Z,3.703216,"Santa Barbara, CA",SCA
2005-01-01T00:00:00Z,5.16613,"Seattle, WA",WA
2006-01-01T00:00:00Z,6.97362,"Seattle, WA",WA
2007-01-01T00:00:00Z,5.36392,"Seattle, WA",WA
2008-01-01T00:00:00Z,5.81081,"Seattle, WA",WA
2009-01-01T00:00:00Z,4.02592,"Seattle, WA",WA
2010-01-01T00:00:00Z,4.80117,"Seattle, WA",WA
2011-01-01T00:00:00Z,5.33439,"Seattle, WA",WA
2012-01-01T00:00:00Z,4.65653,"Seattle, WA",WA
2013-01-01T00:00:00Z,5.62976,"Seattle, WA",WA
2014-01-01T00:00:00Z,4.11065,"Seattle, WA",WA
2015-01-01T00:00:00Z,5.85341,"Seattle, WA",WA
2016-01-01T00:00:00Z,8.32915,"Seattle, WA",WA
2017-01-01T00:00:00Z,4.49206,"Seattle, WA",WA
2018-01-01T00:00:00Z,2.3943088,"Seattle, WA",WA
2005-01-01T00:00:00Z,0.03647,"Shelter Cove, CA",NCA
2006-01-01T00:00:00Z,0.01217,"Shelter Cove, CA",NCA
2007-01-01T00:00:00Z,0.67429,"Shelter Cove, CA",NCA
2008-01-01T00:00:00Z,0.26605,"Shelter Cove, CA",NCA
2009-01-01T00:00:00Z,0.0,"Shelter Cove, CA",NCA
2010-01-01T00:00:00Z,0.33286,"Shelter Cove, CA",NCA
2011-01-01T00:00:00Z,0.67944,"Shelter Cove, CA",NCA
2012-01-01T00:00:00Z,0.55661,"Shelter Cove, CA",NCA
2013-01-01T00:00:00Z,0.33881,"Shelter Cove, CA",NCA
2014-01-01T00:00:00Z,0.25996,"Shelter Cove, CA",NCA
