time,fishing_reliance,location,region
2011-01-01T00:00:00Z,1.27499,"La Push, WA",WA
2012-01-01T00:00:00Z,12.07938,"La Push, WA",WA
2013-01-01T00:00:00Z,14.45111,"La Push, WA",WA
2014-01-01T00:00:00Z,0.95281,"La Push, WA",WA
2015-01-01T00:00:00Z,1.12691,"La Push, WA",WA
2016-01-01T00:00:00Z,1.12691,"La Push, WA",WA
2017-01-01T00:00:00Z,2.26817,"La Push, WA",WA
2005-01-01T00:00:00Z,0.0,"Lake Forest, CA",SCA
2006-01-01T00:00:00Z,0.0,"Lake Forest, CA",SCA
2007-01-01T00:00:00Z,0.0,"Lake Forest, CA",SCA
2008-01-01T00:00:00Z,0.0,"Lake Forest, CA",SCA
2009-01-01T00:00:00Z,0.0,"Lake Forest, CA",SCA
2010-01-01T00:00:00Z,-0.12628,"Lake Forest, CA",SCA
2011-01-01T00:00:00Z,-0.12143,"Lake Forest, CA",SCA
2012-01-01T00:00:00Z,-0.11135,"Lake Forest, CA",SCA
2013-01-01T00:00:00Z,-0.1164,"Lake Forest, CA",SCA
2014-01-01T00:00:00Z,-0.1006,"Lake Forest, CA",SCA
2015-01-01T00:00:00Z,-0.09023,"Lake Forest, CA",SCA
2016-01-01T00:00:00Z,-0.06001,"Lake Forest, CA",SCA
2017-01-01T00:00:00Z,-0.04765,"Lake Forest, CA",SCA
2005-01-01T00:00:00Z,0.0,"Langlois, OR",OR
2006-01-01T00:00:00Z,0.0,"Langlois, OR",OR
2007-01-01T00:00:00Z,0.0,"Langlois, OR",OR
2008-01-01T00:00:00Z,0.0,"Langlois, OR",OR
2009-01-01T00:00:00Z,0.0,"Langlois, OR",OR
2010-01-01T00:00:00Z,0.16255,"Langlois, OR",OR
2011-01-01T00:00:00Z,-0.12736,"Langlois, OR",OR
2012-01-01T00:00:00Z,-0.12025,"Langlois, OR",OR
2013-01-01T00:00:00Z,-0.12738,"Langlois, OR",OR
2014-01-01T00:00:00Z,-0.1096,"Langlois, OR",OR
2015-01-01T00:00:00Z,0.7414,"Langlois, OR",OR
2016-01-01T00:00:00Z,3.24127,"Langlois, OR",OR
2017-01-01T00:00:00Z,0.95235,"Langlois, OR",OR
2005-01-01T00:00:00Z,0.0,"Little River, CA",NCA
2006-01-01T00:00:00Z,0.0,"Little River, CA",NCA
2007-01-01T00:00:00Z,0.0,"Little River, CA",NCA
2008-01-01T00:00:00Z,0.0,"Little River, CA",NCA
2009-01-01T00:00:00Z,0.0,"Little River, CA",NCA
2010-01-01T00:00:00Z,0.72478,"Little River, CA",NCA
2011-01-01T00:00:00Z,-0.12736,"Little River, CA",NCA
2012-01-01T00:00:00Z,-0.12025,"Little River, CA",NCA
2013-01-01T00:00:00Z,-0.12738,"Little River, CA",NCA
2014-01-01T00:00:00Z,-0.1096,"Little River, CA",NCA
2015-01-01T00:00:00Z,0.32234,"Little River, CA",NCA
2016-01-01T00:00:00Z,0.0,"Little River, CA",NCA
2017-01-01T00:00:00Z,0.65922,"Little River, CA",NCA
2005-01-01T00:00:00Z,-0.09807,"Marina del Rey, CA",SCA
2006-01-01T00:00:00Z,-0.03388,"Marina del Rey, CA",SCA
2007-01-01T00:00:00Z,-0.03499,"Marina del Rey, CA",SCA
2008-01-01T00:00:00Z,-0.06685,"Marina del Rey, CA",SCA
2009-01-01T00:00:00Z,-0.10605,"Marina del Rey, CA",SCA
2010-01-01T00:00:00Z,-0.05278,"Marina del Rey, CA",SCA
2011-01-01T00:00:00Z,-0.07324,"Marina del Rey, CA",SCA
2012-01-01T00:00:00Z,-0.06365,"Marina del Rey, CA",SCA
2013-01-01T00:00:00Z,-0.12054,"Marina del Rey, CA",SCA
2014-01-01T00:00:00Z,-0.04906,"Marina del Rey, CA",SCA
2015-01-01T00:00:00Z,-0.05011,"Marina del Rey, CA",SCA
2016-01-01T00:00:00Z,-0.06462,"Marina del Rey, CA",SCA
2017-01-01T00:00:00Z,-0.07154,"Marina del Rey, CA",SCA
2018-01-01T00:00:00Z,-0.041830987,"Marina del Rey, CA",SCA
2005-01-01T00:00:00Z,20.94878,"Moss Landing, CA",CCA
2006-01-01T00:00:00Z,18.17968,"Moss Landing, CA",CCA
2007-01-01T00:00:00Z,22.3831,"Moss Landing, CA",CCA
2008-01-01T00:00:00Z,22.58779,"Moss Landing, CA",CCA
2009-01-01T00:00:00Z,23.61627,"Moss Landing, CA",CCA
2010-01-01T00:00:00Z,25.47512,"Moss Landing, CA",CCA
2011-01-01T00:00:00Z,20.86736,"Moss Landing, CA",CCA
2012-01-01T00:00:00Z,21.17437,"Moss Landing, CA",CCA
2013-01-01T00:00:00Z,14.80788,"Moss Landing, CA",CCA
2014-01-01T00:00:00Z,27.7347,"Moss Landing, CA",CCA
2015-01-01T00:00:00Z,29.2447,"Moss Landing, CA",CCA
2016-01-01T00:00:00Z,29.54986,"Moss Landing, CA",CCA
2017-01-01T00:00:00Z,25.90558,"Moss Landing, CA",CCA
2018-01-01T00:00:00Z,33.18725,"Moss Landing, CA",CCA
2005-01-01T00:00:00Z,5.08079,"Neah Bay, WA",WA
2006-01-01T00:00:00Z,4.91857,"Neah Bay, WA",WA
2007-01-01T00:00:00Z,4.21447,"Neah Bay, WA",WA
2008-01-01T00:00:00Z,4.58745,"Neah Bay, WA",WA
2009-01-01T00:00:00Z,4.45216,"Neah Bay, WA",WA
2010-01-01T00:00:00Z,5.15208,"Neah Bay, WA",WA
2011-01-01T00:00:00Z,1.7736,"Neah Bay, WA",WA
2012-01-01T00:00:00Z,1.03256,"Neah Bay, WA",WA
2013-01-01T00:00:00Z,1.19335,"Neah Bay, WA",WA
2014-01-01T00:00:00Z,0.74535,"Neah Bay, WA",WA
2015-01-01T00:00:00Z,0.95743,"Neah Bay, WA",WA
2016-01-01T00:00:00Z,2.1579,"Neah Bay, WA",WA
2017-01-01T00:00:00Z,2.27498,"Neah Bay, WA",WA
2005-01-01T00:00:00Z,1.2574,"Newport, OR",OR
2006-01-01T00:00:00Z,1.29713,"Newport, OR",OR
2007-01-01T00:00:00Z,1.51799,"Newport, OR",OR
2008-01-01T00:00:00Z,1.43215,"Newport, OR",OR
2009-01-01T00:00:00Z,1.53264,"Newport, OR",OR
2010-01-01T00:00:00Z,1.47222,"Newport, OR",OR
2011-01-01T00:00:00Z,2.601,"Newport, OR",OR
2012-01-01T00:00:00Z,1.72974,"Newport, OR",OR
2013-01-01T00:00:00Z,2.00683,"Newport, OR",OR
2014-01-01T00:00:00Z,1.92672,"Newport, OR",OR
2015-01-01T00:00:00Z,1.65553,"Newport, OR",OR
2016-01-01T00:00:00Z,2.07486,"Newport, OR",OR
2017-01-01T00:00:00Z,2.52348,"Newport, OR",OR
2005-01-01T00:00:00Z,2.4932,"Point Arena, CA",CCA
2006-01-01T00:00:00Z,2.37129,"Point Arena, CA",CCA
2007-01-01T00:00:00Z,1.58041,"Point Arena, CA",CCA
2008-01-01T00:00:00Z,1.44047,"Point Arena, CA",CCA
2009-01-01T00:00:00Z,1.07926,"Point Arena, CA",CCA
2010-01-01T00:00:00Z,1.0137,"Point Arena, CA",CCA
2011-01-01T00:00:00Z,0.99019,"Point Arena, CA",CCA
2012-01-01T00:00:00Z,1.25185,"Point Arena, CA",CCA
2013-01-01T00:00:00Z,1.42176,"Point Arena, CA",CCA
2014-01-01T00:00:00Z,1.70146,"Point Arena, CA",CCA
2015-01-01T00:00:00Z,2.08647,"Point Arena, CA",CCA
2016-01-01T00:00:00Z,1.10983,"Point Arena, CA",CCA
2017-01-01T00:00:00Z,1.03743,"Point Arena, CA",CCA
2018-01-01T00:00:00Z,0.7232021,"Point Arena, CA",CCA
